Species,Genus,Size class,Damage,Notes,Reference
Syzygium cormiflorum,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium corynanthum,Syzygium,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium cryptophlebium,Syzygium,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium cumini,Syzygium,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium dansiei,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium endophloium,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium erythrocalyx,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium eucalyptoide,Syzygium,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium eucalyptoides,Syzygium,,0.550666011,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium floribundum,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium forte,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium forte ,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium hedraiophyllum,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium hemilamprum,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium hodgkinsoniae,Syzygium,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium ingens,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium jambos,Syzygium,,0.825999016,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium kuranda,Syzygium,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium luehmannii,Syzygium,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium macilwraithianum,Syzygium,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium maraca,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium minutiflorum,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium moorei,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium mulgraveanum,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium nervosum,Syzygium,,0.550666011,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium oleosum,Syzygium,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium paniculatum,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium puberulum,Syzygium,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium rubrimolle,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium suborbiculare,Syzygium,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium tierneyanum,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium unipunctatum,Syzygium,,0.137666503,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium wilsonii ,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium wilsonii x luehmannii,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium xerampelinum,Syzygium,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium pseudofastigiatum,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Thryptomene saxicola,Thryptomene,,0.137666503,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Tristania neriifolia,Tristania,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Tristaniopsis exiliflora,Tristaniopsis,,0.550666011,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Tristaniopsis laurina,Tristaniopsis,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Uromyrtus metrosideros,Uromyrtus,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Uromyrtus tenella,Uromyrtus,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Xanthostemon chrysanthus,Xanthostemon,,0.137666503,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Xanthostemon fruticosus,Xanthostemon,,0.550666011,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Xanthostemon youngii,Xanthostemon,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Xanthostemon oppositifolius,Xanthostemon,,0.550666011,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
